hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
18:48:00,03/05/2018,2018,20 DE NOVIEMBRE,ENRIQUE GARCIA LEAL,Atropello,Viro indebidamente,1,0,1,25.678405,-100.4183
19:14,18/07/2015,2015,A. DIAZ SOTO Y GAMA,LUIS CABRERA,Atropello,Otros,1,0,1,25.680108,-100.410655
16:30:00,16/05/2018,2018,AGUSTIN SILLER,NATIVIDAD GARCIA,Atropello,Viro indebidamente,1,0,1,25.661022,-100.41577
7:15,16/10/2015,2015,ALFONSO REYES,RICARDO MARGAIN,Atropello,Viro indebidamente,1,0,1,25.6480327,-100.384845
11:50:00,11/02/2016,2016,ALFONSO REYES,PADRE MIER,Atropello,Distraccion,1,0,1,25.658377,-100.413170
20:43:00,04/09/2017,2017,ALFONSO REYES,PADRE MIER,Atropello,Distraccion,1,0,1,25.6583772,-100.41317
8:22:00,08/11/2017,2017,ALFONSO REYES,LAS SENDAS,Atropello,Otros,1,0,1,25.6573628,-100.41007
13:41:00,07/06/2018,2018,ALFONSO REYES,PADRE MIER,Atropello,Otros,1,0,1,25.6583772,-100.41317
18:05:00,11/07/2018,2018,ALFONSO REYES,DUBLIN PONIENTE,Atropello,Otros,1,0,1,25.6424746,-100.34926
20:01:00,10/04/2019,2019,ALFONSO REYES,SIERRA VERDE,Atropello,Distraccion,1,0,1,25.645251,-100.378819
16:06,11/02/2015,2015,ANA CRISTINA,J. M. MONTEMAYOR,Atropello,Otros,1,0,1,25.653119,-100.383425
21:29:00,30/08/2016,2016,ANTIMONIO,TUGSTENO,Atropello,Distraccion,1,0,1,25.686641,-100.412715
19:02:00,14/05/2018,2018,ANTIMONIO,AZUFRE,Atropello,Otros,1,0,1,25.685397,-100.41275
3:59:00,13/08/2017,2017,ANTONIO DIAZ SOTO,FLORES MAGON,Atropello,Sin Dato,1,0,1,25.679903,-100.409703
0:35,12/06/2015,2015,ANTONIO I. VILLARREAL,A. DIAZ SOTO Y GAMA,Atropello,Otros,1,0,1,25.679588,-100.408143
